COMID,order_,watershed,subbasin,region
9014081,5,south_america,geoglows,Amazon_River
9014082,1,south_america,geoglows,Amazon_River
9014085,1,south_america,geoglows,Amazon_River
9014087,2,south_america,geoglows,Orinoco_River
9014088,5,south_america,geoglows,Amazon_River
9014090,4,south_america,geoglows,Amazon_River
9014096,5,south_america,geoglows,Amazon_River
9014100,2,south_america,geoglows,Amazon_River
9014101,5,south_america,geoglows,Amazon_River
9014107,4,south_america,geoglows,Amazon_River
9014110,1,south_america,geoglows,Amazon_River
9014115,4,south_america,geoglows,Guianas
9014120,2,south_america,geoglows,Guianas
9014135,1,south_america,geoglows,Amazon_River
